                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8122,                 3.0136,                 4.2122,                 1.5586,                0.00167,                    0.5,                0.00132,                0.00048,                0.00133,                    0.4,                0.00111,                0.00028,                0.74366,                 1.7864,                 4.3577,                 1.1977,                0.00016,                0.00016,                0.00016
                      1,                  1.718,                 2.7261,                 4.0539,                 1.4901,                0.00267,                    0.8,                0.00676,                 0.0036,                0.00267,                    0.8,                0.00676,                 0.0037,                 1.0537,                 2.0213,                 4.3179,                 1.1142,             0.00033663,             0.00033663,             0.00033663
                      2,                 1.2482,                 1.8694,                   2.37,                 1.1607,                0.00333,                      1,                0.01026,                0.00592,                0.00333,                      1,                0.01026,                0.00569,                 1.1907,                  2.422,                  3.944,                 1.0753,              0.0005097,              0.0005097,              0.0005097
                      3,                 1.3091,                  1.515,                 1.8663,                  1.131,                0.00333,                      1,                0.00915,                0.00583,                0.00333,                      1,                0.00915,                0.00543,                   1.23,                 1.8199,                 3.7544,                 1.0073,             0.00067921,             0.00067921,             0.00067921
                      4,                 1.2443,                 1.4034,                 1.6911,                 1.1155,                0.00333,                      1,                0.00752,                0.00525,                0.00333,                      1,                0.00752,                0.00467,                  1.144,                 2.0437,                 3.7219,                 1.0232,             0.00084515,             0.00084515,             0.00084515
                      5,                 1.1586,                 1.2393,                 1.4272,                 1.0765,                0.00333,                      1,                 0.2002,                0.11461,                0.00333,                      1,                0.20096,                0.14033,                 1.2491,                  1.651,                  3.653,                  1.044,              0.0010075,              0.0010075,              0.0010075
                      6,                 1.2813,                 1.4741,                 1.6162,                 1.0726,                0.00333,                      1,                0.14316,                0.09862,                0.00333,                      1,                0.14316,                0.10711,                 1.2219,                 1.1958,                 3.3104,                0.99286,              0.0011663,              0.0011663,              0.0011663
                      7,                 1.3633,                 1.2969,                 1.6519,                  1.146,                0.00333,                      1,                0.94045,                0.48337,                0.00333,                      1,                0.94045,                0.61991,                 1.5735,                 2.3552,                 3.1488,                 1.2013,              0.0013216,              0.0013216,              0.0013216
                      8,                 1.3304,                 1.4618,                 1.5546,                 1.1536,                      1,                0.19686,                  0.995,                0.61834,                      1,                0.19686,                  0.995,                0.67903,                 1.2936,                 1.5658,                 3.0739,                 1.1239,              0.0014733,              0.0014733,              0.0014733
                      9,                 1.2726,                 1.2777,                  1.712,                 1.1048,                      1,                0.83727,                0.96643,                0.42881,                      1,                0.83727,                  0.995,                 0.5251,                 1.7394,                 2.1662,                 3.1454,                 1.3258,              0.0016214,              0.0016214,              0.0016214
                     10,                 1.3019,                 1.5134,                  1.666,                 1.1034,                0.25139,                    0.8,                0.33139,                 0.1922,                0.25139,                    0.8,                0.33139,                0.20451,                 1.3053,                 1.5544,                 2.1516,                 1.0651,               0.001766,               0.001766,               0.001766
                     11,                 1.3059,                 1.4581,                 1.6134,                 1.1177,                0.97665,                      1,                  0.995,                0.65925,                0.97665,                      1,                  0.995,                 0.7025,                 1.1325,                 1.6102,                 1.9433,                0.96993,              0.0017822,              0.0017822,              0.0017822
                     12,                 1.3437,                 1.4397,                  1.541,                 1.0998,                0.98514,                      1,                  0.995,                0.71562,                0.98514,                      1,                  0.995,                0.69965,                 1.1249,                  1.675,                 1.6051,                0.98487,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1981,                 1.2626,                   1.39,                 1.0267,                0.98489,                      1,                  0.995,                0.70439,                0.98489,                      1,                  0.995,                0.72492,                 1.3124,                 1.3745,                 1.3946,                 1.0927,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2308,                 1.4105,                 1.2794,                 1.0517,                      1,                0.98103,                  0.995,                0.64583,                      1,                0.98103,                  0.995,                0.58924,                 1.5255,                 1.9855,                 1.6035,                 1.2369,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2315,                 1.5799,                 1.2611,                 1.0489,                0.99083,                    0.9,                0.97833,                0.60082,                0.99083,                    0.9,                0.97833,                0.65313,                  1.594,                 1.8547,                 1.6203,                 1.1581,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3144,                 1.4352,                 1.4285,                 1.1067,                0.90749,                0.98244,                0.91318,                0.63722,                0.90749,                0.98244,                0.91318,                0.71588,                 1.2574,                 1.1552,                 1.5317,                  1.007,               0.001703,               0.001703,               0.001703
